ra_deg,dec_deg,redshift,delta_alpha_over_alpha,error,source
1.3333333333333333,5.402777777777779,0.85118,-3.4000000000000005e-06,1.284e-05,king2012
20.070833333333333,21.56277777777778,0.72913,4.1000000000000004e-07,1.2970000000000001e-05,king2012
20.070833333333333,21.56277777777778,1.0479,-2.02e-06,2.199e-05,king2012
20.070833333333333,21.56277777777778,1.3246,7.0300000000000005e-06,8.040000000000001e-06,king2012
20.070833333333333,21.56277777777778,1.3428,-1.2900000000000002e-05,9.49e-06,king2012
65.8125,-1.3425,0.63308,4.282000000000001e-05,4.088e-05,king2012
73.29999999999998,-13.096111111111112,1.1743,-3.0330000000000003e-05,1.093e-05,king2012
73.29999999999998,-13.096111111111112,1.2294,-1.4720000000000001e-05,8.18e-06,king2012
73.29999999999998,-13.096111111111112,1.2324,9.810000000000001e-06,2.7570000000000002e-05,king2012
74.19583333333334,4.014444444444444,0.85929,5.78e-06,1.2050000000000002e-05,king2012
74.19583333333334,4.014444444444444,1.1534,-7.430000000000001e-06,1.787e-05,king2012
126.50416666666666,-22.5075,0.91059,-3.910000000000001e-06,6.09e-06,king2012
177.87083333333334,38.43111111111111,0.55339,-1.8370000000000002e-05,1.7160000000000002e-05,king2012
182.24166666666667,45.67638888888889,0.92741,-2.1800000000000003e-06,1.39e-05,king2012
183.95416666666665,-0.5755555555555555,1.3196,-7.25e-06,7.610000000000001e-06,king2012
183.95416666666665,-0.5755555555555555,1.5541,-1.8700000000000004e-05,8.78e-06,king2012
186.36249999999998,22.586666666666666,0.66802,7.5e-07,1.4750000000000003e-05,king2012
187.1,31.47694444444444,1.7954,-1.295e-05,1.0500000000000001e-05,king2012
192.70000000000002,39.86083333333333,0.77292,2.2280000000000004e-05,1.179e-05,king2012
192.70000000000002,39.86083333333333,0.85452,-2.1000000000000003e-07,1.27e-05,king2012
194.24583333333334,4.459444444444444,0.51934,-3.3650000000000005e-05,3.256e-05,king2012
194.24583333333334,4.459444444444444,0.93426,1.877e-05,1.796e-05,king2012
199.98333333333335,27.468888888888888,0.66004,4.440000000000001e-06,1.505e-05,king2012
215.85833333333332,32.87222222222222,0.84324,1.02e-06,8.46e-06,king2012
215.85833333333332,32.87222222222222,0.90301,-9.990000000000001e-06,1.783e-05,king2012
215.85833333333332,32.87222222222222,1.1726,-3.2040000000000005e-05,1.546e-05,king2012
248.6208333333333,70.52555555555556,0.9901,1.156e-05,2.3990000000000002e-05,king2012
5.533333333333333,-15.09388888888889,3.4388,9.370000000000002e-06,3.9120000000000005e-05,king2012
15.795833333333334,13.27138888888889,2.3095,-3.949e-05,1.3700000000000003e-05,king2012
28.141666666666666,33.8425,2.1408,-5.4180000000000006e-05,2.1600000000000003e-05,king2012
31.22916666666667,36.82138888888889,1.4761,-6.5800000000000005e-06,1.216e-05,king2012
31.22916666666667,36.82138888888889,1.955,1.9920000000000002e-05,1.0480000000000001e-05,king2012
31.22916666666667,36.82138888888889,2.324,1.7000000000000001e-07,1.64e-05,king2012
31.22916666666667,36.82138888888889,2.4563,-5.8530000000000004e-05,2.597e-05,king2012
31.22916666666667,36.82138888888889,2.4628,5.76e-06,1.7290000000000002e-05,king2012
57.42916666666667,-38.17527777777777,3.0247,-2.835e-05,3.422e-05,king2012
131.09999999999997,12.763333333333334,2.3742,2.265e-05,3.8270000000000005e-05,king2012
131.09999999999997,12.763333333333334,2.4761,-4.664e-05,1.9730000000000003e-05,king2012
184.38333333333333,33.09388888888889,1.999,5.4980000000000006e-05,3.1780000000000004e-05,king2012
